Title|Overview|Poster|Backdrop|Rating|Sensory Load|Triggers|Emoji|Link
Predator: Badlands|Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.|https://image.tmdb.org/t/p/w500/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg|https://image.tmdb.org/t/p/original/ebyxeBh56QNXxSJgTnmz7fXAlwk.jpg|7.613|High|Loud noises, Fast Paced|🔴|https://www.justwatch.com/us/search?q=Predator:%20Badlands
Avatar: Fire and Ash|In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.|https://image.tmdb.org/t/p/w500/cf7hE1ifY4UNbS25tGnaTyyDrI2.jpg|https://image.tmdb.org/t/p/original/vm4H1DivjQoNIm0Vs6i3CTzFxQ0.jpg|7.345|Medium|Balanced|🟡|https://www.justwatch.com/us/search?q=Avatar:%20Fire%20and%20Ash
Wicked: For Good|As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.|https://image.tmdb.org/t/p/w500/si9tolnefLSUKaqQEGz1bWArOaL.jpg|https://image.tmdb.org/t/p/original/l8pwO23MCvqYumzozpxynCNfck1.jpg|6.694|Low|Calming, Predictable|🟢|https://www.justwatch.com/us/search?q=Wicked:%20For%20Good
xXx|"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi."|https://image.tmdb.org/t/p/w500/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg|https://image.tmdb.org/t/p/original/2OHa6ukEq3Hce7Pc2kvu8wkmMFY.jpg|5.981|High|Loud noises, Fast Paced|🔴|https://www.justwatch.com/us/search?q=xXx
The Housemaid|Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.|https://image.tmdb.org/t/p/w500/cWsBscZzwu5brg9YjNkGewRUvJX.jpg|https://image.tmdb.org/t/p/original/sK3z0Naed3H1Wuh7a21YRVMxYqt.jpg|7.187|High|Loud noises, Fast Paced|🔴|https://www.justwatch.com/us/search?q=The%20Housemaid
The Tank|A German Tiger tank crew is sent on a dangerous mission to rescue the missing officer Paul von Hardenburg from a top-secret bunker behind enemy lines. As they make their way through the lethal no-man's land, they must confront not only the enemy, but also their own fears and inner demons. Fueled by the Wehrmacht's methamphetamine, their mission increasingly becomes a journey into the heart of darkness.|https://image.tmdb.org/t/p/w500/65Jr1JAgWlu9em8zHhAfrNJJQBt.jpg|https://image.tmdb.org/t/p/original/vMxOmgmBGegjVObjlb8ugsjGgkD.jpg|7.168|High|Loud noises, Fast Paced|🔴|https://www.justwatch.com/us/search?q=The%20Tank
Zootopia 2|After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.|https://image.tmdb.org/t/p/w500/bjUWGw0Ao0qVWxagN3VCwBJHVo6.jpg|https://image.tmdb.org/t/p/original/7nfpkR9XsQ1lBNCXSSHxGV7Dkxe.jpg|7.595|Low|Calming, Predictable|🟢|https://www.justwatch.com/us/search?q=Zootopia%202
TRON: Ares|A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.|https://image.tmdb.org/t/p/w500/chpWmskl3aKm1aTZqUHRCtviwPy.jpg|https://image.tmdb.org/t/p/original/min9ZUDZbiguTiQ7yz1Hbqk78HT.jpg|6.558|High|Loud noises, Fast Paced|🔴|https://www.justwatch.com/us/search?q=TRON:%20Ares
Marty Supreme|In 1950s New York, table tennis player Marty Mauser, a young man with a dream no one respects, goes to Hell and back in pursuit of greatness.|https://image.tmdb.org/t/p/w500/firAhZA0uQvRL2slp7v3AnOj0ZX.jpg|https://image.tmdb.org/t/p/original/qKWDHofjMHPSEOTLaixkC9ZmjTT.jpg|8.0|Medium|Balanced|🟡|https://www.justwatch.com/us/search?q=Marty%20Supreme
Five Nights at Freddy's 2|One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.|https://image.tmdb.org/t/p/w500/udAxQEORq2I5wxI97N2TEqdhzBE.jpg|https://image.tmdb.org/t/p/original/mOeBBD49M72vCEXzgA1dS2MwGno.jpg|6.811|High|Loud noises, Fast Paced|🔴|https://www.justwatch.com/us/search?q=Five%20Nights%20at%20Freddy's%202
Frankenstein|Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.|https://image.tmdb.org/t/p/w500/g4JtvGlQO7DByTI6frUobqvSL3R.jpg|https://image.tmdb.org/t/p/original/ceyakefyCRAgyeFhefa2bz6d9QO.jpg|7.705|High|Loud noises, Fast Paced|🔴|https://www.justwatch.com/us/search?q=Frankenstein
Bugonia|Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.|https://image.tmdb.org/t/p/w500/oxgsAQDAAxA92mFGYCZllgWkH9J.jpg|https://image.tmdb.org/t/p/original/tN3pTxkQoP96wtaEahYuRVdUWb2.jpg|7.4|Medium|Balanced|🟡|https://www.justwatch.com/us/search?q=Bugonia
